geoid,county,rural,black,income,collegewhite,nodiploma,highschoolgrad,collegedegree,homeprice,whitecollar,early_late,privateschool,moved
1400000US37183052507,Wake,Urban,-8.05,702,9.18,-2.178908565,-11.56839271,20.14064176,9800,-8.5,-9.784599307,1.171607725,-10.95620703
1400000US37183052601,Wake,Urban,-6.88,25403,1.78,0.194047015,-5.527123625,23.10906519,34600,-6.3,-25.00517812,2.019598693,-27.02477681
1400000US37183052602,Wake,Urban,4.94,11929,9.28,-7.547186548,-9.800149487,-11.59245954,29700,13.3,-22.20543971,0.329592201,-22.53503191
1400000US37183052603,Wake,Urban,-13.01,28379,18.37,-3.819092496,-19.14284313,54.21343727,222800,3.8,-41.00312928,0.379010298,-41.38213958
1400000US37183052701,Wake,Urban,-4.97,13016,-0.62,-3.505740596,-0.925005333,8.430841148,66200,5.8,-26.42046385,1.267004904,-27.68746875
1400000US37183052704,Wake,Urban,-2.49,6101,-0.44,2.41475237,-2.593638332,-10.00330092,-4400,11,-15.44168224,1.539713733,-16.98139597
1400000US37183052705,Wake,Urban,8.78,8585,2.38,2.246579743,-10.1579002,16.36147701,12000,2.5,-3.73297012,0.980450779,-4.713420898
1400000US37183052706,Wake,Urban,-1.82,5033,1.93,10.77697709,-9.673407975,6.229587489,-400,3.1,-19.33628163,1.85012971,-21.18641134
1400000US37183052707,Wake,Urban,-0.31,5361,1.35,0.710029606,1.540531184,-4.135887923,13400,-4.2,-31.3202738,1.352070794,-32.6723446
1400000US37183052801,Wake,Urban,11.01,2373,-3.2,-1.313477564,8.386621661,-7.136533352,9100,-3.9,-14.35238818,-3.044000462,-11.30838771
1400000US37183052802,Wake,Urban,-0.26,6350,-0.22,-1.961811545,-1.719365447,8.615982102,5100,10,-10.1548374,1.374283495,-11.52912089
1400000US37183052803,Wake,Rural,1.99,3347,-0.68,-4.026619529,0.901232185,6.203940903,3900,1.1,-16.13461465,3.762083785,-19.89669843
1400000US37183052806,Wake,Rural,-4.49,2513,-1.23,2.203373258,0.71234668,-61.93940425,5300,-8.6,-7.126103866,0.332132682,-7.458236547
1400000US37183052807,Wake,Rural,14.57,4513,-2.67,-10.87174931,2.907922604,19.55129611,12100,20.6,-11.63779941,0.966227049,-12.60402645
1400000US37183052808,Wake,Rural,1.3,731,-2.5,4.206999255,-2.862993299,-87.27492165,25100,6.7,-11.72772415,1.156689432,-12.88441358
